meeting_hours_per_week,meeting_counts_per_week,messages_sent_per_day,messages_received_per_day,avg_response_latency_min,communication_burstiness,after_hours_message_ratio,communication_balance,conversation_length_avg,avg_tasks_assigned_per_week,avg_tasks_completed_per_week,task_completion_rate,avg_task_age_days,overdue_task_ratio,task_comment_sentiment_mean,logged_hours_per_week,variance_in_work_hours,late_start_count_per_month,early_exit_count_per_month,absenteeism_rate,avg_break_length_minutes,performance_score,burnout_risk_score
7.7,9,127,114,10.2,0.09,0.135,1.1,13.7,24,24,0.98,8.9,0.01,-0.07,39.5,1.23,4,1,0.005,81.6,0.77,0.34
7.1,13,57,83,5.7,0.24,0.036,0.68,13.3,26,25,0.95,6.9,0.04,0.4,50.0,1.67,2,2,0.025,57.3,0.81,0.23
3.6,15,60,84,7.7,0.45,0.08,0.71,5.3,26,25,0.96,10.3,0.03,-0.44,43.3,1.07,2,1,0.059,49.8,0.73,0.24
5.8,13,58,54,3.0,0.25,0.081,1.05,5.0,20,17,0.87,4.6,0.24,0.13,35.0,0.9,3,1,0.02,59.4,0.74,0.22
6.6,14,98,127,10.4,0.68,0.159,0.77,12.0,18,17,0.96,7.4,0.07,-0.5,36.4,2.09,1,3,0.05,41.1,0.71,0.46
11.2,17,91,88,15.3,0.23,0.029,1.02,9.7,24,22,0.93,10.0,0.0,0.26,42.9,1.92,2,0,0.043,39.1,0.78,0.35
9.0,11,76,105,4.5,0.33,0.052,0.72,11.6,31,31,0.99,1.0,0.0,-0.15,42.4,1.5,2,0,0.021,40.6,0.82,0.46
2.7,7,57,68,6.9,0.32,0.164,0.83,17.3,26,19,0.72,7.3,0.28,-0.01,39.7,1.72,1,0,0.075,34.0,0.58,0.27
9.0,10,82,113,12.5,0.33,0.124,0.72,13.1,21,15,0.71,8.2,0.24,-0.17,50.0,1.91,4,1,0.021,35.2,0.61,0.5
6.8,7,40,77,16.1,0.14,0.041,0.6,15.8,27,20,0.75,1.0,0.16,-0.49,50.0,1.49,0,1,0.072,44.8,0.6,0.36
6.0,12,83,95,2.5,0.47,0.055,0.86,14.2,29,28,0.98,6.8,0.05,0.46,40.9,0.9,0,1,0.043,46.0,0.8,0.19
9.8,12,101,126,9.2,0.31,0.176,0.8,10.4,20,18,0.88,3.6,0.08,0.25,45.5,1.65,5,1,0.007,64.9,0.7,0.37
11.1,21,48,123,11.4,0.51,0.216,0.6,7.0,25,21,0.83,7.2,0.23,0.02,45.7,2.0,1,1,0.067,60.4,0.72,0.42
10.8,14,41,99,9.5,0.19,0.203,0.6,13.3,24,20,0.85,5.7,0.15,-0.24,46.2,1.8,2,1,0.063,30.0,0.69,0.59
5.5,7,119,46,1.0,0.53,0.038,1.4,12.4,20,19,0.95,3.2,0.03,0.32,39.4,1.53,4,0,0.066,40.6,0.77,0.12
7.1,7,64,180,12.5,0.06,0.014,0.6,16.6,21,21,0.98,9.3,0.0,-0.28,49.8,1.78,2,1,0.051,30.0,0.77,0.4
9.0,15,108,152,17.6,0.44,0.056,0.71,11.2,21,19,0.92,4.7,0.14,-0.71,41.7,1.39,5,0,0.057,30.0,0.66,0.56
10.9,10,76,121,10.6,0.26,0.019,0.62,10.5,22,20,0.93,6.8,0.09,-0.46,43.7,2.02,1,0,0.073,46.3,0.69,0.53
6.6,16,75,77,4.8,0.32,0.101,0.96,10.9,31,25,0.8,9.9,0.18,-0.36,42.0,2.17,1,0,0.01,53.7,0.62,0.38
7.4,17,90,96,7.4,0.21,0.124,0.93,7.4,22,18,0.84,3.2,0.12,-0.24,41.4,0.85,1,0,0.007,46.1,0.69,0.36
4.7,15,57,83,18.8,0.34,0.199,0.68,19.2,23,22,0.97,6.0,0.11,-0.14,43.1,2.06,3,0,0.01,51.6,0.72,0.41
4.4,11,83,137,14.5,0.14,0.054,0.6,17.7,34,32,0.94,4.5,0.01,-0.03,37.3,2.62,2,0,0.07,40.0,0.72,0.23
10.4,5,70,107,13.2,0.35,0.365,0.65,5.9,26,24,0.91,5.2,0.08,-0.17,35.0,1.76,2,0,0.045,30.0,0.72,0.45
12.1,9,46,76,11.8,0.24,0.39,0.6,16.0,30,22,0.72,12.5,0.3,-0.83,41.1,1.99,1,1,0.014,39.5,0.51,0.74
7.8,15,88,85,6.7,0.39,0.252,1.02,5.0,27,19,0.71,7.4,0.3,-0.14,38.5,1.18,2,0,0.011,65.5,0.66,0.43
11.0,19,73,133,9.0,0.21,0.135,0.6,16.9,25,18,0.74,6.9,0.25,-0.23,44.2,1.25,2,0,0.036,50.6,0.61,0.47
9.1,21,76,148,9.6,0.46,0.168,0.6,8.5,21,18,0.87,7.6,0.09,-0.2,43.7,1.4,1,2,0.065,30.0,0.65,0.46
6.1,10,49,145,12.7,0.69,0.111,0.6,13.8,32,28,0.86,7.3,0.13,0.39,42.1,1.3,2,1,0.064,47.0,0.76,0.27
9.1,8,119,122,17.5,0.36,0.096,0.97,5.0,26,26,0.98,1.0,0.06,-0.04,47.9,0.84,0,1,0.068,64.1,0.75,0.41
12.6,13,101,92,15.6,0.39,0.1,1.09,6.0,24,22,0.91,12.9,0.15,-0.03,42.0,1.41,1,1,0.062,56.4,0.68,0.46
7.9,13,104,30,2.9,0.17,0.102,1.4,14.3,30,24,0.79,1.6,0.14,0.2,36.2,1.92,1,1,0.005,64.3,0.72,0.19
12.7,11,72,108,11.1,0.3,0.183,0.66,8.5,26,19,0.75,11.2,0.26,-0.6,41.1,0.85,1,1,0.058,30.0,0.54,0.59
2.0,9,36,99,13.7,0.24,0.193,0.6,7.8,21,20,0.95,7.9,0.0,0.09,46.7,1.59,4,1,0.042,46.9,0.7,0.23
10.5,18,128,104,13.1,0.45,0.138,1.22,19.0,22,18,0.84,6.5,0.21,0.13,35.0,1.57,1,1,0.058,39.8,0.72,0.32
8.3,12,78,101,6.9,0.28,0.119,0.76,23.1,25,22,0.9,5.1,0.13,-0.05,41.6,1.35,3,3,0.039,53.9,0.77,0.34
7.1,14,61,60,24.6,0.63,0.016,1.0,16.7,20,17,0.87,13.8,0.08,-0.38,44.3,1.75,2,1,0.039,32.3,0.68,0.37
8.3,8,90,116,3.6,0.61,0.061,0.77,6.5,22,16,0.73,7.8,0.3,-0.34,50.0,1.7,2,0,0.01,32.0,0.66,0.44
2.0,13,109,118,4.6,0.36,0.054,0.92,20.8,35,25,0.72,6.1,0.3,-0.14,46.8,1.31,1,1,0.072,45.0,0.65,0.28
7.3,12,79,120,11.2,0.03,0.125,0.65,5.0,20,16,0.81,4.4,0.2,-0.73,42.5,2.03,3,0,0.03,31.2,0.63,0.46
9.1,12,111,128,20.6,0.42,0.015,0.86,10.5,31,25,0.81,4.0,0.18,-0.49,44.1,1.78,2,1,0.047,48.9,0.64,0.49
12.4,6,107,118,5.8,0.29,0.086,0.9,12.3,38,34,0.9,6.2,0.1,0.59,35.0,2.29,3,0,0.017,30.0,0.78,0.33
6.4,15,53,87,8.7,0.21,0.155,0.6,21.6,21,19,0.89,3.2,0.09,0.15,37.8,1.47,1,3,0.03,62.6,0.75,0.33
5.6,12,63,97,15.4,0.54,0.153,0.64,16.6,18,18,0.99,8.0,0.0,0.55,44.6,1.34,2,2,0.07,30.0,0.84,0.27
6.5,5,103,102,9.9,0.09,0.08,1.0,9.7,30,29,0.96,4.1,0.1,0.26,42.6,1.4,2,0,0.017,58.6,0.75,0.24
10.7,11,20,103,8.3,0.33,0.234,0.6,7.3,25,21,0.85,9.0,0.13,0.09,43.2,2.09,2,1,0.016,36.3,0.7,0.43
9.0,16,76,129,12.8,0.3,0.219,0.6,17.0,15,13,0.85,8.9,0.12,-0.12,42.1,1.43,2,2,0.021,30.0,0.68,0.45
6.4,21,44,119,11.4,0.07,0.068,0.6,9.3,25,23,0.9,5.8,0.09,0.12,42.0,1.46,3,1,0.046,47.5,0.74,0.27
9.5,13,68,162,15.2,0.39,0.144,0.6,13.1,25,18,0.73,7.7,0.3,0.23,42.4,2.48,1,1,0.042,58.3,0.64,0.3
8.3,11,72,166,16.5,0.28,0.011,0.6,5.2,18,18,1.0,7.9,0.06,0.29,37.8,0.83,3,1,0.014,62.4,0.78,0.24
10.9,6,71,102,11.5,0.45,0.242,0.69,14.8,19,16,0.86,1.6,0.12,0.03,41.1,1.68,0,2,0.055,61.9,0.69,0.53
5.9,15,66,30,11.5,0.08,0.018,1.4,14.4,29,28,0.97,11.2,0.09,-0.04,37.0,1.47,6,3,0.073,32.1,0.75,0.24
7.0,12,52,137,11.1,0.38,0.107,0.6,5.8,31,31,0.99,5.2,0.02,0.23,39.5,1.37,4,1,0.016,48.1,0.79,0.24
6.8,9,137,83,12.4,0.47,0.146,1.4,17.2,20,17,0.87,8.1,0.08,-0.14,46.8,1.02,3,1,0.054,30.0,0.72,0.37
3.6,14,126,75,10.3,0.5,0.144,1.4,14.8,29,21,0.73,8.2,0.25,0.0,41.3,1.17,1,0,0.047,46.2,0.6,0.31
8.9,13,50,88,10.0,0.07,0.069,0.6,15.7,25,22,0.87,1.0,0.2,-0.31,44.4,1.3,1,0,0.026,50.1,0.69,0.45
8.8,12,119,86,16.0,0.17,0.086,1.37,10.1,33,29,0.88,4.0,0.22,-0.23,42.5,1.75,2,0,0.049,39.4,0.63,0.45
8.0,18,70,118,17.6,0.23,0.141,0.6,12.9,19,18,0.94,8.5,0.08,-0.29,40.5,1.93,1,1,0.017,30.0,0.72,0.55
7.3,13,83,53,2.5,0.46,0.117,1.4,12.3,21,15,0.71,6.2,0.26,-0.29,38.0,0.61,1,3,0.067,36.1,0.54,0.43
3.8,10,78,67,10.1,0.35,0.032,1.15,11.3,23,19,0.84,8.1,0.15,-0.26,40.4,0.9,6,0,0.002,73.6,0.66,0.34
6.7,14,63,110,6.6,0.24,0.202,0.6,12.9,17,17,0.98,6.3,0.0,0.61,42.7,1.77,2,0,0.045,50.9,0.82,0.39
7.0,11,104,118,8.4,0.67,0.298,0.87,18.3,34,34,1.0,9.7,0.0,-0.17,44.3,1.82,2,2,0.026,37.7,0.7,0.46
5.6,12,83,119,12.0,0.11,0.092,0.69,17.4,24,18,0.76,6.3,0.21,0.01,42.5,0.77,1,0,0.071,42.6,0.62,0.29
7.5,7,68,76,13.3,0.23,0.174,0.88,6.1,19,18,0.96,10.3,0.03,-0.22,44.6,1.94,2,0,0.04,50.8,0.76,0.41
9.2,11,47,70,9.4,0.41,0.077,0.66,16.9,22,16,0.74,3.1,0.26,-0.15,35.9,1.49,3,1,0.064,30.0,0.59,0.43
13.7,15,57,84,1.0,0.4,0.115,0.67,18.0,24,23,0.95,5.6,0.04,0.15,45.5,1.87,2,0,0.074,30.0,0.76,0.4
8.5,11,38,107,5.2,0.44,0.322,0.6,11.2,21,16,0.78,4.2,0.21,-0.66,37.5,1.07,3,0,0.027,34.0,0.63,0.45
8.8,13,80,144,14.5,0.29,0.083,0.6,14.5,36,36,0.99,7.2,0.05,-0.37,45.9,0.8,1,2,0.07,37.3,0.74,0.42
7.8,15,50,38,1.0,0.37,0.121,1.28,14.5,31,28,0.91,5.2,0.08,-0.27,44.0,1.35,1,1,0.058,71.9,0.71,0.46
2.2,13,73,93,15.9,0.07,0.011,0.78,7.8,36,30,0.82,5.3,0.17,-0.46,35.0,1.37,3,3,0.009,46.1,0.64,0.31
7.9,14,114,60,12.6,0.18,0.082,1.4,10.1,24,19,0.78,3.9,0.21,-0.08,44.9,1.34,2,1,0.008,37.2,0.65,0.37
8.2,7,109,50,16.6,0.2,0.049,1.4,15.8,24,18,0.77,4.6,0.3,-0.13,46.0,1.3,2,2,0.065,45.8,0.64,0.44
15.0,9,79,129,9.0,0.38,0.349,0.61,9.5,39,35,0.9,6.0,0.07,-0.29,47.0,2.35,5,0,0.037,30.0,0.62,0.68
7.4,5,77,116,1.0,0.14,0.174,0.66,16.9,27,26,0.97,1.0,0.06,0.08,38.9,0.65,2,2,0.04,31.4,0.79,0.36
8.9,16,126,113,12.2,0.43,0.076,1.11,18.5,30,28,0.93,1.0,0.04,-0.06,42.7,1.08,1,1,0.071,33.8,0.75,0.38
7.9,20,93,127,16.4,0.25,0.2,0.73,17.7,20,19,0.95,6.2,0.07,0.0,44.8,1.29,1,1,0.072,30.0,0.69,0.44
4.5,11,71,85,14.6,0.39,0.022,0.83,21.9,29,27,0.93,1.0,0.09,-0.18,44.9,1.51,3,0,0.009,63.5,0.77,0.35
11.4,12,44,87,6.7,0.2,0.198,0.6,11.5,29,29,0.99,5.4,0.06,0.19,43.6,1.86,3,1,0.03,54.9,0.8,0.41
10.3,10,89,165,10.4,0.29,0.073,0.6,12.9,26,24,0.93,4.9,0.05,0.54,40.3,1.93,1,2,0.072,30.0,0.81,0.32
10.4,17,100,92,7.3,0.29,0.152,1.08,13.6,18,14,0.76,7.6,0.18,0.15,46.0,2.04,1,0,0.066,30.0,0.74,0.37
5.3,15,64,122,5.9,0.26,0.039,0.6,11.7,28,26,0.94,4.0,0.02,0.49,46.0,1.74,1,1,0.058,30.0,0.81,0.21
12.2,12,87,100,14.8,0.64,0.002,0.86,14.7,27,22,0.8,10.7,0.25,-0.57,41.4,0.63,1,1,0.008,42.2,0.68,0.54
3.8,13,70,44,4.0,0.44,0.212,1.4,5.0,28,28,1.0,8.5,0.11,-0.21,38.9,0.67,2,1,0.05,48.0,0.74,0.32
9.8,10,75,38,5.5,0.31,0.072,1.4,13.0,21,17,0.81,1.5,0.23,0.04,39.1,2.07,3,3,0.047,51.2,0.7,0.37
14.6,9,20,82,4.5,0.32,0.281,0.6,5.1,26,20,0.79,5.1,0.15,0.4,47.5,2.04,1,0,0.013,30.0,0.69,0.52
5.0,12,74,131,2.5,0.25,0.173,0.6,7.2,24,19,0.77,10.6,0.27,0.03,45.8,1.82,4,0,0.062,42.3,0.6,0.28
6.3,10,104,123,10.7,0.45,0.175,0.84,15.7,22,20,0.9,3.9,0.06,-0.26,41.9,1.09,0,1,0.025,44.2,0.65,0.41
8.3,15,64,127,15.8,0.13,0.203,0.6,11.0,29,21,0.73,5.8,0.25,-0.28,41.2,1.34,4,2,0.05,63.0,0.61,0.56
6.5,8,81,70,9.1,0.6,0.182,1.14,15.5,17,17,0.99,10.2,0.02,0.18,35.0,1.3,2,4,0.029,56.6,0.78,0.25
3.3,12,61,148,2.5,0.22,0.11,0.6,10.9,32,25,0.79,4.4,0.23,-0.18,41.7,0.99,3,0,0.007,30.0,0.63,0.35
8.2,11,89,71,14.2,0.17,0.045,1.24,17.5,25,20,0.79,9.4,0.21,-0.35,37.2,1.63,5,2,0.042,30.0,0.64,0.39
4.8,12,74,106,18.4,0.5,0.035,0.69,10.8,32,23,0.71,3.3,0.26,-0.24,42.6,2.58,2,2,0.025,43.3,0.64,0.39
9.4,23,56,99,6.8,0.07,0.038,0.6,5.0,31,24,0.77,1.0,0.28,-0.18,46.7,1.25,0,2,0.006,35.4,0.7,0.39
5.2,10,113,94,7.6,0.65,0.186,1.19,13.1,29,24,0.83,9.7,0.15,-0.37,38.1,2.15,1,3,0.016,30.6,0.64,0.39
12.6,9,103,140,12.6,0.24,0.325,0.73,5.0,20,16,0.81,7.3,0.25,0.14,43.0,1.06,1,0,0.05,33.7,0.68,0.6
5.7,9,64,78,18.1,0.53,0.066,0.81,5.0,20,16,0.78,7.5,0.15,-0.18,46.0,0.73,3,1,0.008,53.7,0.72,0.34
7.0,11,92,59,7.4,0.41,0.188,1.4,7.6,25,18,0.71,2.7,0.3,-0.22,42.9,1.99,2,0,0.007,30.0,0.64,0.44
10.4,10,93,100,3.3,0.34,0.069,0.92,7.0,25,20,0.79,3.0,0.15,0.26,39.9,1.39,0,2,0.076,72.7,0.68,0.37
4.3,16,96,88,13.2,0.56,0.108,1.08,9.3,21,20,0.93,9.5,0.02,0.04,42.0,2.14,5,2,0.009,34.2,0.77,0.18
8.7,11,37,180,14.0,0.23,0.056,0.6,6.8,22,18,0.83,6.7,0.14,0.25,45.8,2.24,1,1,0.03,54.5,0.74,0.35
11.9,15,105,120,10.0,0.47,0.012,0.87,5.0,26,20,0.79,5.6,0.29,-0.5,43.1,1.36,2,1,0.011,35.0,0.65,0.45
3.2,13,65,87,7.2,0.4,0.037,0.74,19.7,21,17,0.79,6.7,0.27,-0.04,42.0,2.17,1,1,0.075,30.0,0.67,0.28
8.6,6,71,68,15.0,0.32,0.158,1.03,8.6,29,25,0.87,10.5,0.18,0.17,46.6,1.06,4,1,0.038,42.8,0.74,0.38
8.8,14,145,43,12.6,0.24,0.236,1.4,5.0,21,17,0.79,8.2,0.21,-0.36,44.1,1.05,4,0,0.009,30.0,0.66,0.44
10.3,15,87,69,6.2,0.05,0.138,1.24,10.2,31,28,0.89,4.6,0.12,-0.07,37.2,2.04,5,1,0.062,47.2,0.68,0.35
4.3,20,70,103,10.2,0.29,0.103,0.67,6.4,19,19,1.0,1.8,0.07,-0.01,44.5,0.73,3,3,0.062,44.6,0.73,0.29
4.0,9,24,142,3.2,0.46,0.089,0.6,7.6,21,15,0.71,7.8,0.3,-0.14,45.8,1.5,0,0,0.072,34.6,0.64,0.44
9.6,10,114,133,13.4,0.28,0.131,0.85,15.6,29,22,0.75,3.2,0.25,-0.01,37.1,2.12,2,0,0.056,47.3,0.65,0.46
8.9,15,46,106,8.7,0.35,0.176,0.6,9.8,24,18,0.75,2.5,0.3,-0.47,35.0,2.16,0,1,0.004,60.6,0.63,0.48
8.8,12,54,90,7.8,0.14,0.148,0.6,6.2,22,18,0.83,9.9,0.21,-0.12,37.8,1.28,3,3,0.044,43.4,0.71,0.42
9.0,11,71,108,9.8,0.06,0.132,0.65,14.2,28,20,0.71,8.6,0.3,0.28,41.6,2.0,3,1,0.031,34.1,0.61,0.36
6.0,14,115,84,10.2,0.24,0.118,1.35,17.7,21,18,0.84,7.2,0.13,0.28,46.0,0.94,1,0,0.06,51.0,0.7,0.26
8.7,18,99,151,14.5,0.47,0.133,0.65,14.7,26,25,0.98,2.3,0.0,0.34,38.4,1.17,3,2,0.047,51.6,0.8,0.27
8.9,9,76,94,13.0,0.35,0.282,0.8,5.0,22,15,0.7,11.4,0.28,-0.24,44.2,1.62,4,0,0.058,40.7,0.56,0.53
5.9,8,87,97,9.2,0.17,0.184,0.89,6.4,20,16,0.81,9.1,0.21,0.53,35.0,1.69,3,0,0.014,65.6,0.72,0.18
13.6,16,64,33,13.8,0.09,0.169,1.4,12.2,29,27,0.93,5.1,0.11,0.3,42.7,0.98,1,0,0.035,40.5,0.73,0.51
9.4,14,83,94,12.0,0.57,0.048,0.87,10.8,21,16,0.75,4.5,0.18,-0.07,40.4,2.43,2,1,0.035,67.3,0.65,0.31
4.4,19,81,125,7.9,0.3,0.065,0.64,10.4,16,12,0.72,6.2,0.18,-0.01,50.0,0.56,3,1,0.078,35.2,0.62,0.27
10.0,11,104,67,9.4,0.34,0.129,1.4,7.1,21,19,0.89,4.6,0.06,-0.1,35.0,1.53,2,1,0.002,57.8,0.74,0.47
5.1,15,104,77,9.3,0.46,0.045,1.33,5.0,30,21,0.7,12.6,0.28,-0.06,41.9,1.6,3,1,0.065,41.7,0.66,0.28
10.4,11,92,123,12.5,0.02,0.147,0.74,22.0,26,24,0.94,4.8,0.12,0.16,35.0,0.63,2,2,0.008,49.0,0.78,0.35
11.5,16,70,55,8.2,0.23,0.182,1.25,12.1,24,17,0.72,2.8,0.27,0.04,39.8,2.16,2,1,0.006,30.0,0.72,0.47
5.5,11,98,131,8.0,0.13,0.025,0.74,15.2,20,17,0.86,10.8,0.16,-0.11,35.2,1.13,3,1,0.026,77.5,0.74,0.34
10.9,14,77,84,19.8,0.14,0.09,0.91,12.0,29,27,0.92,4.3,0.1,-0.44,50.0,1.55,1,1,0.056,49.8,0.72,0.56
9.2,12,52,88,14.7,0.23,0.027,0.6,12.2,24,19,0.77,8.4,0.18,-0.0,40.6,1.66,4,0,0.054,60.3,0.68,0.37
10.5,8,69,66,6.2,0.3,0.158,1.03,11.7,22,16,0.73,8.0,0.3,0.01,41.2,0.77,2,0,0.05,30.0,0.63,0.46
13.7,10,82,111,12.9,0.46,0.213,0.73,6.4,27,20,0.75,5.8,0.21,-0.41,41.8,0.96,3,2,0.062,47.6,0.64,0.61
7.3,9,102,173,10.6,0.47,0.092,0.6,5.0,28,27,0.96,3.1,0.12,-0.05,37.5,2.28,2,1,0.019,42.3,0.74,0.39
5.7,13,75,123,12.0,0.2,0.02,0.6,13.9,27,25,0.91,5.9,0.08,0.42,46.2,1.47,3,0,0.051,30.0,0.79,0.36
5.3,17,49,74,10.7,0.4,0.132,0.65,12.9,21,16,0.76,2.5,0.22,-0.48,44.6,0.15,3,1,0.051,64.3,0.6,0.45
5.6,14,81,134,15.9,0.23,0.101,0.6,16.7,24,22,0.91,5.9,0.03,-0.01,45.7,1.35,3,4,0.052,47.2,0.76,0.28
